Input,InputLength,CoveragePercent,AlignedCount,AlignmentPattern,Classification,StateHex
rand20!@#,9,50.0,4,01010101,Aligned,0x5555555555555555
rand20#$%,9,37.5,3,11100000,Aligned,0xe0e0e0e0e0e0e0e0
rand21!@#,9,50.0,4,01000111,Aligned,0x4747474747474747
rand21#$%,9,37.5,3,00110100,Aligned,0x3434343434343434
rand22!@#,9,50.0,4,01100110,Aligned,0x6666666666666666
rand22#$%,9,37.5,3,10110000,Aligned,0xb0b0b0b0b0b0b0b0
rand23!@#,9,25.0,2,00110000,Not Aligned,0x3030303030303030
rand23#$%,9,75.0,6,11101110,Aligned,0xeeeeeeeeeeeeeeee
rand24!@#,9,12.5,1,00100000,Not Aligned,0x2020202020202020
rand24#$%,9,50.0,4,11001100,Aligned,0xcccccccccccccccc
rand25!@#,9,25.0,2,00011000,Not Aligned,0x1818181818181818
rand25#$%,9,25.0,2,10010000,Not Aligned,0x9090909090909090
rand26!@#,9,75.0,6,11101011,Aligned,0xebebebebebebebeb
rand26#$%,9,37.5,3,10000110,Aligned,0x8686868686868686
rand27!@#,9,75.0,6,11011110,Aligned,0xdededededededede
rand27#$%,9,62.5,5,00111110,Aligned,0x3e3e3e3e3e3e3e3e
rand28!@#,9,50.0,4,10101010,Aligned,0xaaaaaaaaaaaaaaaa
rand28#$%,9,50.0,4,10010011,Aligned,0x9393939393939393
rand29!@#,9,62.5,5,11100110,Aligned,0xe6e6e6e6e6e6e6e6
rand29#$%,9,62.5,5,01110110,Aligned,0x7676767676767676
rand30!@#,9,50.0,4,00111100,Aligned,0x3c3c3c3c3c3c3c3c
rand30#$%,9,62.5,5,01111100,Aligned,0x7c7c7c7c7c7c7c7c
rand31!@#,9,50.0,4,01010101,Aligned,0x5555555555555555
rand31#$%,9,87.5,7,01111111,Aligned,0x7f7f7f7f7f7f7f7f
rand32!@#,9,75.0,6,11111100,Aligned,0xfcfcfcfcfcfcfcfc
rand32#$%,9,62.5,5,01101011,Aligned,0x6b6b6b6b6b6b6b6b
rand33!@#,9,50.0,4,10010101,Aligned,0x9595959595959595
rand33#$%,9,62.5,5,11001011,Aligned,0xcbcbcbcbcbcbcbcb
rand34!@#,9,62.5,5,11100110,Aligned,0xe6e6e6e6e6e6e6e6
rand34#$%,9,37.5,3,01010100,Aligned,0x5454545454545454
rand35!@#,9,75.0,6,00111111,Aligned,0x3f3f3f3f3f3f3f3f
rand35#$%,9,50.0,4,01101010,Aligned,0x6a6a6a6a6a6a6a6a
rand36!@#,9,50.0,4,11001010,Aligned,0xcacacacacacacaca
rand36#$%,9,87.5,7,11111011,Aligned,0xfbfbfbfbfbfbfbfb
rand37!@#,9,37.5,3,01000011,Aligned,0x4343434343434343
rand37#$%,9,25.0,2,00010010,Not Aligned,0x1212121212121212
rand38!@#,9,37.5,3,01011000,Aligned,0x5858585858585858
rand38#$%,9,37.5,3,10101000,Aligned,0xa8a8a8a8a8a8a8a8
rand39!@#,9,87.5,7,11111110,Aligned,0xfefefefefefefefe
rand39#$%,9,50.0,4,01110100,Aligned,0x7474747474747474
rand40!@#,9,75.0,6,11111001,Aligned,0xf9f9f9f9f9f9f9f9
rand40#$%,9,62.5,5,00111110,Aligned,0x3e3e3e3e3e3e3e3e
rand41!@#,9,87.5,7,11111110,Aligned,0xfefefefefefefefe
rand41#$%,9,50.0,4,11001010,Aligned,0xcacacacacacacaca
rand42!@#,9,75.0,6,11011011,Aligned,0xdbdbdbdbdbdbdbdb
rand42#$%,9,50.0,4,01001011,Aligned,0x4b4b4b4b4b4b4b4b
rand43!@#,9,25.0,2,00101000,Not Aligned,0x2828282828282828
rand43#$%,9,62.5,5,11001110,Aligned,0xcececececececece
rand44!@#,9,12.5,1,01000000,Not Aligned,0x4040404040404040
rand44#$%,9,75.0,6,10111101,Aligned,0xbdbdbdbdbdbdbdbd
rand45!@#,9,75.0,6,11101101,Aligned,0xedededededededed
rand45#$%,9,25.0,2,10001000,Not Aligned,0x8888888888888888
rand46!@#,9,50.0,4,11011000,Aligned,0xd8d8d8d8d8d8d8d8
rand46#$%,9,37.5,3,01011000,Aligned,0x5858585858585858
rand47!@#,9,62.5,5,01111010,Aligned,0x7a7a7a7a7a7a7a7a
rand47#$%,9,87.5,7,11101111,Aligned,0xefefefefefefefef
rand48!@#,9,87.5,7,11101111,Aligned,0xefefefefefefefef
rand48#$%,9,50.0,4,00010111,Aligned,0x1717171717171717
rand49!@#,9,37.5,3,00101010,Aligned,0x2a2a2a2a2a2a2a2a
rand49#$%,9,37.5,3,01100010,Aligned,0x6262626262626262
rand50!@#,9,62.5,5,01111010,Aligned,0x7a7a7a7a7a7a7a7a
rand50#$%,9,37.5,3,10010001,Aligned,0x9191919191919191
Call me Ishmael.,16,25.0,2,00100010,Not Aligned,0x2222222222222222
Call me Ishmael. Call me Ishmael.,33,37.5,3,01000110,Aligned,0x4646464646464646
Some years ago,14,37.5,3,11000001,Aligned,0xc1c1c1c1c1c1c1c1
Some years ago Some years ago,29,37.5,3,01011000,Aligned,0x5858585858585858
Never mind how long,19,62.5,5,10110110,Aligned,0xb6b6b6b6b6b6b6b6
Never mind how long Never mind how long,39,0.0,0,00000000,Not Aligned,0x0000000000000000
I thought I would sail,22,50.0,4,01100110,Aligned,0x6666666666666666
I thought I would sail I thought I would sail,45,50.0,4,11101000,Aligned,0xe8e8e8e8e8e8e8e8
Watery part of world,20,12.5,1,01000000,Not Aligned,0x4040404040404040
Watery part of world Watery part of world,41,62.5,5,11010110,Aligned,0xd6d6d6d6d6d6d6d6
,0,62.5,5,11100110,Aligned,0xe6e6e6e6e6e6e6e6
 ,1,37.5,3,00001110,Aligned,0x0e0e0e0e0e0e0e0e
  ,2,62.5,5,00111101,Aligned,0x3d3d3d3d3d3d3d3d
!,1,50.0,4,11000011,Aligned,0xc3c3c3c3c3c3c3c3
!!,2,50.0,4,01000111,Aligned,0x4747474747474747
@,1,62.5,5,11111000,Aligned,0xf8f8f8f8f8f8f8f8
@@,2,37.5,3,01100001,Aligned,0x6161616161616161
#,1,25.0,2,00001001,Not Aligned,0x0909090909090909
##,2,37.5,3,10001010,Aligned,0x8a8a8a8a8a8a8a8a
$,1,37.5,3,01011000,Aligned,0x5858585858585858
$$,2,62.5,5,01111010,Aligned,0x7a7a7a7a7a7a7a7a
%,1,50.0,4,10011010,Aligned,0x9a9a9a9a9a9a9a9a
%%,2,62.5,5,01010111,Aligned,0x5757575757575757
^,1,62.5,5,10010111,Aligned,0x9797979797979797
^^,2,37.5,3,10011000,Aligned,0x9898989898989898
&,1,75.0,6,11011011,Aligned,0xdbdbdbdbdbdbdbdb
&&,2,37.5,3,01001010,Aligned,0x4a4a4a4a4a4a4a4a
*,1,50.0,4,00101110,Aligned,0x2e2e2e2e2e2e2e2e
**,2,50.0,4,11010100,Aligned,0xd4d4d4d4d4d4d4d4
(,1,37.5,3,00011001,Aligned,0x1919191919191919
((,2,50.0,4,10111000,Aligned,0xb8b8b8b8b8b8b8b8
),1,75.0,6,10111011,Aligned,0xbbbbbbbbbbbbbbbb
)),2,50.0,4,01101100,Aligned,0x6c6c6c6c6c6c6c6c
-,1,50.0,4,00101110,Aligned,0x2e2e2e2e2e2e2e2e
--,2,75.0,6,10111110,Aligned,0xbebebebebebebebe
=,1,50.0,4,01001011,Aligned,0x4b4b4b4b4b4b4b4b
==,2,87.5,7,11110111,Aligned,0xf7f7f7f7f7f7f7f7
+,1,50.0,4,10100110,Aligned,0xa6a6a6a6a6a6a6a6
++,2,87.5,7,11111011,Aligned,0xfbfbfbfbfbfbfbfb
[,1,12.5,1,00000100,Not Aligned,0x0404040404040404
[[,2,50.0,4,01101010,Aligned,0x6a6a6a6a6a6a6a6a
],1,75.0,6,11101110,Aligned,0xeeeeeeeeeeeeeeee
]],2,25.0,2,00010010,Not Aligned,0x1212121212121212
{,1,50.0,4,00111010,Aligned,0x3a3a3a3a3a3a3a3a
{{,2,50.0,4,11010001,Aligned,0xd1d1d1d1d1d1d1d1
},1,87.5,7,11111011,Aligned,0xfbfbfbfbfbfbfbfb
}},2,12.5,1,00000001,Not Aligned,0x0101010101010101
;,1,25.0,2,01100000,Not Aligned,0x6060606060606060
;;,2,75.0,6,11011110,Aligned,0xdededededededede
:,1,62.5,5,11010101,Aligned,0xd5d5d5d5d5d5d5d5
::,2,50.0,4,00011110,Aligned,0x1e1e1e1e1e1e1e1e
;,1,62.5,5,11110010,Aligned,0xf2f2f2f2f2f2f2f2
;;,2,75.0,6,01111110,Aligned,0x7e7e7e7e7e7e7e7e
.,1,62.5,5,10101101,Aligned,0xadadadadadadadad
..,2,62.5,5,00011111,Aligned,0x1f1f1f1f1f1f1f1f
/,1,62.5,5,11110100,Aligned,0xf4f4f4f4f4f4f4f4
//,2,50.0,4,11010010,Aligned,0xd2d2d2d2d2d2d2d2
abc1,4,87.5,7,11101111,Aligned,0xefefefefefefefef
ABC1,4,75.0,6,11011011,Aligned,0xdbdbdbdbdbdbdbdb
1 xyz,5,50.0,4,01110100,Aligned,0x7474747474747474
1 XYZ,5,50.0,4,01001011,Aligned,0x4b4b4b4b4b4b4b4b
abc2,4,0.0,0,00000000,Not Aligned,0x0000000000000000
ABC2,4,75.0,6,11001111,Aligned,0xcfcfcfcfcfcfcfcf
2 xyz,5,25.0,2,01010000,Not Aligned,0x5050505050505050
2 XYZ,5,62.5,5,11101001,Aligned,0xe9e9e9e9e9e9e9e9
abc3,4,37.5,3,10011000,Aligned,0x9898989898989898
ABC3,4,37.5,3,00111000,Aligned,0x3838383838383838
3 xyz,5,37.5,3,00010110,Aligned,0x1616161616161616
3 XYZ,5,87.5,7,11111101,Aligned,0xfdfdfdfdfdfdfdfd
abc4,4,75.0,6,11110110,Aligned,0xf6f6f6f6f6f6f6f6
ABC4,4,50.0,4,00110011,Aligned,0x3333333333333333
4 xyz,5,50.0,4,11001001,Aligned,0xc9c9c9c9c9c9c9c9
4 XYZ,5,62.5,5,10111010,Aligned,0xbabababababababa
abc5,4,62.5,5,11100110,Aligned,0xe6e6e6e6e6e6e6e6
ABC5,4,75.0,6,10111110,Aligned,0xbebebebebebebebe
5 xyz,5,62.5,5,11010011,Aligned,0xd3d3d3d3d3d3d3d3
5 XYZ,5,25.0,2,01000010,Not Aligned,0x4242424242424242
abc6,4,50.0,4,10101010,Aligned,0xaaaaaaaaaaaaaaaa
ABC6,4,37.5,3,11001000,Aligned,0xc8c8c8c8c8c8c8c8
6 xyz,5,87.5,7,10111111,Aligned,0xbfbfbfbfbfbfbfbf
6 XYZ,5,50.0,4,11000101,Aligned,0xc5c5c5c5c5c5c5c5
abc7,4,50.0,4,01011001,Aligned,0x5959595959595959
ABC7,4,50.0,4,11001100,Aligned,0xcccccccccccccccc
7 xyz,5,25.0,2,00001010,Not Aligned,0x0a0a0a0a0a0a0a0a
7 XYZ,5,62.5,5,10010111,Aligned,0x9797979797979797
abc8,4,50.0,4,11101000,Aligned,0xe8e8e8e8e8e8e8e8
ABC8,4,62.5,5,11010110,Aligned,0xd6d6d6d6d6d6d6d6
8 xyz,5,62.5,5,10011101,Aligned,0x9d9d9d9d9d9d9d9d
8 XYZ,5,75.0,6,11101110,Aligned,0xeeeeeeeeeeeeeeee
abc9,4,62.5,5,11101001,Aligned,0xe9e9e9e9e9e9e9e9
ABC9,4,25.0,2,01000100,Not Aligned,0x4444444444444444
9 xyz,5,62.5,5,11011010,Aligned,0xdadadadadadadada
9 XYZ,5,37.5,3,01100001,Aligned,0x6161616161616161
abc10,5,25.0,2,10000100,Not Aligned,0x8484848484848484
ABC10,5,87.5,7,11011111,Aligned,0xdfdfdfdfdfdfdfdf
10 xyz,6,50.0,4,10110010,Aligned,0xb2b2b2b2b2b2b2b2
10 XYZ,6,50.0,4,01001011,Aligned,0x4b4b4b4b4b4b4b4b
abc11,5,37.5,3,11010000,Aligned,0xd0d0d0d0d0d0d0d0
ABC11,5,50.0,4,11010010,Aligned,0xd2d2d2d2d2d2d2d2
11 xyz,6,62.5,5,11010110,Aligned,0xd6d6d6d6d6d6d6d6
11 XYZ,6,37.5,3,01010100,Aligned,0x5454545454545454
abc12,5,62.5,5,11011010,Aligned,0xdadadadadadadada
ABC12,5,50.0,4,10101100,Aligned,0xacacacacacacacac
12 xyz,6,25.0,2,00001010,Not Aligned,0x0a0a0a0a0a0a0a0a
12 XYZ,6,62.5,5,11110010,Aligned,0xf2f2f2f2f2f2f2f2
abc13,5,75.0,6,10111101,Aligned,0xbdbdbdbdbdbdbdbd
ABC13,5,62.5,5,11010110,Aligned,0xd6d6d6d6d6d6d6d6
13 xyz,6,62.5,5,11010011,Aligned,0xd3d3d3d3d3d3d3d3
13 XYZ,6,75.0,6,11111100,Aligned,0xfcfcfcfcfcfcfcfc
abc14,5,50.0,4,10010101,Aligned,0x9595959595959595
ABC14,5,50.0,4,10101010,Aligned,0xaaaaaaaaaaaaaaaa
14 xyz,6,62.5,5,01101011,Aligned,0x6b6b6b6b6b6b6b6b
14 XYZ,6,25.0,2,01001000,Not Aligned,0x4848484848484848
abc15,5,25.0,2,00100100,Not Aligned,0x2424242424242424
ABC15,5,62.5,5,11100101,Aligned,0xe5e5e5e5e5e5e5e5
15 xyz,6,50.0,4,01100110,Aligned,0x6666666666666666
15 XYZ,6,37.5,3,01100100,Aligned,0x6464646464646464
